,Feature_Importance_Score
10,0.04921532445622678
9,0.04231724630315559
35,0.03580660357337668
45,0.03284357417145727
39,0.02990753128491332
46,0.028130766876587058
48,0.027872999624985285
23,0.02623203731590472
40,0.02506644421278834
24,0.023986360308164093
36,0.023258374494872582
8,0.02313256587373223
18,0.023033290363351853
19,0.022522410442797174
32,0.021833298147165354
43,0.021102148681629945
27,0.020737749495709386
44,0.020608382459804717
33,0.020557869222524037
11,0.019477773370684785
13,0.018955222363302444
12,0.018782725861525015
14,0.01861080613149926
31,0.01859017097019341
5,0.018392189975170017
21,0.018383585950769762
22,0.018341133068619488
6,0.01790454026255867
47,0.017466470163444846
20,0.017411657183504466
25,0.017351013651079824
16,0.01722356249750776
29,0.01713407422758314
15,0.016917824789418525
37,0.016821812622128108
38,0.016634178215930166
42,0.01653937376366785
1,0.016023402337725288
3,0.015600289336988106
26,0.015248015477124417
17,0.015082638797549945
41,0.014993865904962555
28,0.014746380169760879
34,0.014186437902700607
2,0.013980997829684583
7,0.013906236935049597
30,0.013684390748550924
4,0.013444252182169297
